inventory_id,extension,status,method,conversion_quality,raw_output_path_ignored,sanitized_note
SRC-000409,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000409.txt,docs/00-source-notes/src-000409.md
SRC-000410,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000410.txt,docs/00-source-notes/src-000410.md
SRC-000411,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000411.txt,docs/00-source-notes/src-000411.md
SRC-000412,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000412.txt,docs/00-source-notes/src-000412.md
SRC-000413,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000413.txt,docs/00-source-notes/src-000413.md
SRC-000414,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000414.txt,docs/00-source-notes/src-000414.md
SRC-000415,.mp4,not-convertible,metadata-only,not-applicable,,
SRC-000416,,not-convertible,metadata-only,not-applicable,,
SRC-000417,,not-convertible,metadata-only,not-applicable,,
SRC-000418,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000418.txt,docs/00-source-notes/src-000418.md
SRC-000419,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000419.txt,docs/00-source-notes/src-000419.md
SRC-000420,,not-convertible,metadata-only,not-applicable,,
SRC-000421,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000421.txt,docs/00-source-notes/src-000421.md
SRC-000422,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000422.txt,docs/00-source-notes/src-000422.md
SRC-000423,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000423.txt,docs/00-source-notes/src-000423.md
SRC-000424,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000424.txt,docs/00-source-notes/src-000424.md
SRC-000425,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000425.txt,docs/00-source-notes/src-000425.md
SRC-000426,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000426.txt,docs/00-source-notes/src-000426.md
SRC-000427,,not-convertible,metadata-only,not-applicable,,
SRC-000428,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000428.txt,docs/00-source-notes/src-000428.md
SRC-000429,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000429.txt,docs/00-source-notes/src-000429.md
SRC-000430,,not-convertible,metadata-only,not-applicable,,
SRC-000431,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000431.txt,docs/00-source-notes/src-000431.md
SRC-000432,,not-convertible,metadata-only,not-applicable,,
